IID,prs_basal_metabolic_rate,prs_power_potential,prs_stress_fracture_risk,prs_total_protein,prs_englyst_dietary_fibre,prs_savoury_snack_consumers,prs_overall_bone_mineral_density,prs_reduced_heart_beat_response_to_exercise,prs_endurance,prs_aversion_to_exercise,prs_total_fattty_acids,prs_potential_for_lean_body_mass
user1022_file508_yearofbirth_unknown_sex_unknown.23andme,-1.65798034e-05,-1.98569403e-05,-0.00054927026,-9.63518797e-05,7.90015409e-05,-9.87707372e-05,6.07373697e-05,0.000414888606,-4.33943818e-06,-0.000139869022,-9.96266792e-05,-8.88797998e-06
user1024_file510_yearofbirth_1971_sex_XX.23andme,-1.65762613e-05,-1.91458236e-05,-0.000555777363,-0.000127589477,5.25100507e-05,-0.000101118661,-6.45913818e-05,0.000399332645,1.45508959e-07,-0.000148984285,-0.000130152273,-8.65400556e-06
user1026_file511_yearofbirth_unknown_sex_unknown.23andme,-1.95187957e-05,-1.62974391e-05,-0.000568290131,-0.000129058062,7.78466088e-05,-9.44257634e-05,5.59424405e-05,0.000395733948,-1.80513443e-06,-0.000131898965,-0.000141402041,-1.16769423e-05
user1028_file514_yearofbirth_unknown_sex_unknown.23andme,-1.54005462e-05,-1.47122536e-05,-0.000555167277,-0.000112513326,6.48642513e-05,-0.000107364237,4.62701172e-05,0.000383859235,-6.20170043e-06,-0.000137612598,-0.000126527035,-6.59650814e-06
user1029_file515_yearofbirth_unknown_sex_unknown.23andme,-1.64929827e-05,-1.66760444e-05,-0.00055418102,-7.91421043e-05,8.21976675e-05,-8.58579561e-05,-0.000109509635,0.000381274363,2.06970585e-06,-0.000124614227,-3.88399464e-05,-9.47525129e-06
user1033_file567_yearofbirth_1992_sex_XY.23andme,-1.45439055e-05,-2.01808419e-05,-0.000554361621,-0.000110026672,4.20158172e-05,-8.26302279e-05,0.000135713179,0.000386194622,-3.10150491e-06,-0.000140868253,-4.70824415e-05,-9.39889159e-06
user1034_file517_yearofbirth_unknown_sex_unknown.23andme,-2.12277113e-05,-1.92155385e-05,-0.000517806983,-0.000120148762,5.78427563e-05,-8.94417629e-05,3.00975405e-05,0.000399007167,8.6297281e-08,-0.000145918406,-8.63056323e-05,-1.16011635e-05
user1035_file518_yearofbirth_1986_sex_XX.ancestry,-1.1803195e-05,-1.72326823e-05,-0.000563217702,-9.50163278e-05,7.46492595e-05,-0.000103545141,0.00011909681,0.000396622732,-4.62333967e-06,-0.00013557631,-7.39275471e-05,-4.18737641e-06
user1036_file519_yearofbirth_unknown_sex_unknown.23andme,-2.60612769e-05,-2.407272e-05,-0.000566617703,-0.000100305108,5.13584255e-05,-0.000100477083,3.40934692e-05,0.000401887293,-3.50294541e-06,-0.000136987016,-0.000102165858,-1.74593772e-05
user1038_file520_yearofbirth_unknown_sex_unknown.23andme,-1.32092954e-05,-2.03850717e-05,-0.0005773925,-0.000117314143,9.19930528e-05,-8.25356195e-05,3.27040619e-05,0.000386180382,-4.60249998e-06,-0.000149761042,-9.41552939e-05,-6.62725353e-06
